ear,mear,no_detection,angry,happy,neutral,sad,scared,surprised,disgust,engagement
0.195056182,0.088329414,0,0,0,1,0,0,0,0,1
0.320482031,0.081870154,0,1,0,0,0,0,0,0,0
0.261086698,0.104699373,0,0,0,1,0,0,0,0,2
0.349429281,0.100501346,0,0,1,0,0,0,0,0,1
0.263502407,0.057207559,0,0,1,0,0,0,0,0,2
0.263341413,0.068223779,0,0,0,1,0,0,0,0,0
0.180093011,0.08990564,0,0,0,1,0,0,0,0,1
0.165707656,0.073599081,1,0,0,0,0,0,0,0,0
0.102326335,0.088519302,0,0,1,0,0,0,0,0,2
0.277548994,0.062516666,0,0,1,0,0,0,0,0,0
0.332725039,0.071522758,0,0,0,1,0,0,0,0,0
0.233096411,0.097479548,0,0,0,1,0,0,0,0,1
0.171353735,0.081210634,0,0,1,0,0,0,0,0,2
0.220016481,0.113329987,0,0,0,1,0,0,0,0,2
0.265324393,0.087834953,0,0,1,0,0,0,0,0,2
0.279528243,0.069643985,0,0,0,1,0,0,0,0,0
0.178734903,0.161764445,0,0,0,1,0,0,0,0,1
0.284984464,0.080746052,0,0,1,0,0,0,0,0,1
0.25830085,0.094456221,0,0,0,1,0,0,0,0,1
0.219529455,0.076086524,0,0,0,1,0,0,0,0,0
0.480351726,0.112025371,0,0,1,0,0,0,0,0,0
0.175148441,0.093537629,1,0,0,0,0,0,0,0,0
0.183785068,0.077822831,1,0,0,0,0,0,0,0,0
0.167751539,0.074700137,1,0,0,0,0,0,0,0,0
0.18030888,0.100650624,0,0,0,1,0,0,0,0,1
0.155680094,0.071281654,1,0,0,0,0,0,0,0,0
0.267611858,0.062658575,0,0,0,1,0,0,0,0,0
0.3035405,0.042612792,0,0,1,0,0,0,0,0,2
0.253162563,0.074684296,1,0,0,0,0,0,0,0,0
0.191343004,0.073511529,1,0,0,0,0,0,0,0,0
0.180287835,0.097381275,0,0,0,1,0,0,0,0,1
0.118049596,0.087827841,0,0,0,0,1,0,0,0,0
0.179855812,0.081113577,1,0,0,0,0,0,0,0,0
0.380243473,0.078583662,0,0,1,0,0,0,0,0,0
0.246060038,0.086495715,0,0,1,0,0,0,0,0,2
0.211489838,0.114986692,0,0,1,0,0,0,0,0,2
0.187019651,0.10584868,0,0,0,1,0,0,0,0,1
0.260766311,0.086597297,0,0,0,1,0,0,0,0,0
0.230744259,0.094017203,0,0,0,1,0,0,0,0,0
0.263368608,0.083931243,0,0,0,1,0,0,0,0,2
0.184260838,0.058177489,0,0,0,1,0,0,0,0,0
0.209483131,0.099641455,0,0,0,1,0,0,0,0,2
0.269103173,0.080940489,0,0,0,1,0,0,0,0,0
0.217202673,0.089484976,0,0,0,1,0,0,0,0,1
0.195304862,0.101391971,0,0,1,0,0,0,0,0,1
0.281861014,0.070262496,0,0,0,1,0,0,0,0,0
0.235736481,0.057938148,0,0,0,1,0,0,0,0,0
0.270925253,0.060683581,0,0,0,1,0,0,0,0,0
0.150936104,0.090763976,0,0,0,1,0,0,0,0,2
0.277163252,0.031446385,0,0,1,0,0,0,0,0,2
0.159362416,0.090066928,0,0,0,1,0,0,0,0,1
0.27933033,0.05959538,0,0,0,1,0,0,0,0,0
0.260861473,0.085899213,0,0,1,0,0,0,0,0,2
0.29580755,0.065501963,0,0,0,0,1,0,0,0,1
0.342341955,0.075381552,1,0,0,0,0,0,0,0,2
0.229277864,0.085786227,0,0,0,1,0,0,0,0,2
0.46691113,0.110286658,0,1,0,0,0,0,0,0,1
0.349660568,0.090624704,0,1,0,0,0,0,0,0,1
0.305706931,0.040661277,0,0,0,1,0,0,0,0,0
0.271388466,0.054325667,0,0,0,1,0,0,0,0,0
0.200776443,0.076676205,1,0,0,0,0,0,0,0,0
0.284634969,0.064600417,0,0,0,1,0,0,0,0,0
0.251962187,0.081692175,0,0,0,1,0,0,0,0,2
0.205407954,0.13854621,0,0,0,1,0,0,0,0,1
0.292615527,0.079047061,0,0,0,1,0,0,0,0,0
0.415500617,0.109474079,0,1,0,0,0,0,0,0,1
0.213263273,0.085843975,0,0,0,1,0,0,0,0,2
