alpha_AF4,alpha_F8,alpha_F4,alpha_FC6,alpha_FC5,alpha_F3,alpha_F7,alpha_AF3,betal_AF4,betal_F8,betal_F4,betal_FC6,betal_FC5,betal_F3,betal_F7,betal_AF3,betah_AF4,betah_F8,betah_F4,betah_FC6,betah_FC5,betah_F3,betah_F7,betah_AF3,face_label,name,video,self
0.079323,0.048565,0.13351,0.07677,0.0027156,0.034818,0.026483,0.0538,0.051797,0.083951,0.07807,0.12492,0.021987,0.035358,0.031099,0.040841,0.02681,0.03785,0.060087,0.068415,0.032531,0.032873,0.023044,0.030709,1,pang,part1,2
0.058578,0.02157,0.048986,0.050291,0.0061923,0.046249,0.058497,0.045423,0.041401,0.087954,0.07408,0.15346,0.030684,0.058227,0.036162,0.044534,0.046391,0.07381,0.074632,0.13814,0.042708,0.074126,0.025319,0.060749,1,pang,part1,2
0.034448,0.012094,0.11128,0.055367,0.0052461,0.034658,0.053651,0.034306,0.042343,0.06666,0.10592,0.16244,0.032566,0.062261,0.063944,0.044604,0.025813,0.0455,0.044239,0.10868,0.048834,0.028523,0.038016,0.023218,1,pang,part1,2
0.079152,0.041484,0.11859,0.080214,0.0046208,0.042953,0.075001,0.050893,0.050238,0.10309,0.094853,0.13105,0.022461,0.044409,0.046452,0.042651,0.052051,0.06037,0.060292,0.10094,0.083477,0.044505,0.070208,0.045116,1,pang,part1,2
0.12526,0.10011,0.31771,0.10091,0.0058469,0.1926,0.084416,0.16697,0.047662,0.12487,0.095078,0.092752,0.040373,0.072799,0.08998,0.053894,0.09033,0.1504,0.16849,0.17137,0.069694,0.17613,0.053874,0.13471,1,pang,part1,2
0.16785,0.14852,0.23276,0.10001,0.0061268,0.17018,0.12728,0.15367,0.10438,0.329,0.13211,0.15453,0.046654,0.098359,0.092199,0.080343,0.10059,0.14459,0.15794,0.15495,0.085835,0.15734,0.072179,0.13041,1,pang,part1,2
0.09058,0.036082,0.14644,0.064262,0.0037789,0.10118,0.038958,0.11109,0.053909,0.11604,0.13675,0.10984,0.029954,0.069447,0.045314,0.059513,0.031845,0.046888,0.07762,0.082187,0.039218,0.054924,0.028607,0.042943,1,pang,part1,2
0.11101,0.045542,0.14811,0.035356,0.0058885,0.093655,0.11386,0.10671,0.10749,0.1293,0.14305,0.13136,0.040478,0.078878,0.10577,0.088134,0.083956,0.10846,0.11169,0.12299,0.074247,0.13038,0.055834,0.10905,1,pang,part1,2
0.14543,0.062065,0.26163,0.098804,0.0062013,0.15652,0.057368,0.16944,0.086551,0.15411,0.13893,0.12403,0.033917,0.094681,0.088592,0.080509,0.062425,0.079291,0.10137,0.086393,0.056624,0.087933,0.052573,0.07626,1,pang,part1,2
0.07401,0.036235,0.19839,0.075791,0.0047647,0.05605,0.062963,0.062723,0.046504,0.074885,0.084226,0.077739,0.01976,0.054707,0.04673,0.048108,0.037082,0.059594,0.0519,0.053184,0.034783,0.048168,0.031978,0.041457,1,pang,part1,2
0.03755,0.014588,0.14308,0.03284,0.0037458,0.030577,0.043847,0.040161,0.057956,0.11804,0.18999,0.15702,0.011569,0.083501,0.020675,0.071972,0.042535,0.056471,0.0946,0.088997,0.034988,0.062699,0.034755,0.051331,1,pang,part1,2
0.071919,0.034194,0.10782,0.042251,0.0050463,0.04695,0.0644,0.059438,0.050519,0.10509,0.09179,0.1186,0.022118,0.037854,0.048596,0.037187,0.016544,0.032503,0.042731,0.038723,0.019237,0.03362,0.023289,0.022318,1,pang,part1,2
0.040518,0.023703,0.10483,0.053633,0.0032324,0.028294,0.053313,0.031623,0.033644,0.06934,0.079354,0.098989,0.014651,0.034792,0.026829,0.034049,0.01046,0.024376,0.041913,0.046118,0.014684,0.025311,0.013992,0.016325,1,pang,part1,2
0.068826,0.04966,0.14187,0.065603,0.0035595,0.060053,0.058374,0.064159,0.058274,0.12423,0.12523,0.15987,0.022117,0.059763,0.047095,0.056562,0.024876,0.048055,0.063925,0.062927,0.02288,0.043723,0.025492,0.031359,1,pang,part1,2
0.038632,0.046256,0.10708,0.070107,0.0033193,0.042398,0.033193,0.031467,0.037097,0.11535,0.089213,0.13528,0.01561,0.038215,0.041251,0.029296,0.027555,0.038905,0.073449,0.053317,0.025025,0.041597,0.03139,0.033529,1,pang,part1,2
0.17451,0.085107,0.25826,0.23268,0.013259,0.1301,0.16332,0.14316,0.094606,0.15099,0.14944,0.2486,0.047197,0.056185,0.11233,0.066349,0.071883,0.11482,0.14238,0.1314,0.049825,0.098354,0.047819,0.085869,1,pang,part1,2
0.09487,0.045048,0.16646,0.11259,0.0054914,0.095034,0.099119,0.093237,0.055851,0.11533,0.13456,0.16877,0.044687,0.063656,0.096092,0.049348,0.039418,0.062426,0.10288,0.089419,0.041442,0.064278,0.043699,0.050286,1,pang,part1,2
0.16187,0.17453,0.20363,0.066079,0.0067458,0.15178,0.099826,0.15255,0.19393,0.64967,0.25329,0.26984,0.056769,0.1719,0.086189,0.17593,0.089527,0.22158,0.16992,0.13817,0.057476,0.14684,0.04722,0.12104,1,pang,part1,2
0.1322,0.070799,0.26694,0.094232,0.0045768,0.1145,0.078789,0.13735,0.13724,0.27894,0.19598,0.20496,0.042074,0.1466,0.082994,0.14039,0.085814,0.13171,0.16903,0.14778,0.061958,0.14853,0.049686,0.12133,1,pang,part1,2
0.05471,0.03052,0.16006,0.047158,0.0063165,0.072475,0.046214,0.068248,0.077263,0.17781,0.22153,0.27774,0.037063,0.094857,0.069085,0.08291,0.052246,0.087056,0.13697,0.1103,0.05227,0.095588,0.063954,0.067013,1,pang,part1,2
0.094255,0.059072,0.14705,0.10326,0.0048905,0.052891,0.056299,0.069284,0.073723,0.15847,0.14298,0.23279,0.034723,0.080146,0.061251,0.071354,0.050397,0.066613,0.096205,0.1462,0.055456,0.064703,0.042025,0.059056,1,pang,part1,2
0.1827,0.11,0.2446,0.15693,0.010054,0.12241,0.11331,0.1504,0.11639,0.27467,0.25102,0.27866,0.039706,0.16059,0.12351,0.12597,0.077692,0.14463,0.19496,0.17515,0.06461,0.14928,0.065404,0.11416,1,pang,part1,2
0.042806,0.039324,0.079197,0.027191,0.0023872,0.046347,0.030584,0.044285,0.045264,0.10348,0.10769,0.11347,0.014584,0.049603,0.022503,0.047039,0.019626,0.031593,0.048943,0.026477,0.015688,0.046519,0.017673,0.032358,1,pang,part2,3
0.034656,0.031496,0.060721,0.032348,0.0032318,0.014731,0.028739,0.020319,0.040583,0.12611,0.10259,0.11005,0.012197,0.025809,0.024187,0.030009,0.014975,0.051881,0.057414,0.051593,0.010034,0.013654,0.010686,0.012714,1,pang,part2,3
